TIMESTAMP;UUID;ARRITMIA;CPU;RAM;DISCO;BATERIA;QTD_TAREFAS;TAREFAS
2025-12-01 12:00;680fab1b-5333-4caa-970b-091a484dcf7d;false;10.0;71.9;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:10;680fab1b-5333-4caa-970b-091a484dcf7d;false;12.8;77.3;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:20;680fab1b-5333-4caa-970b-091a484dcf7d;false;9.4;76.5;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:30;680fab1b-5333-4caa-970b-091a484dcf7d;false;12.6;77.9;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:40;680fab1b-5333-4caa-970b-091a484dcf7d;false;11.9;74.9;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:00:50;680fab1b-5333-4caa-970b-091a484dcf7d;false;14.3;71.3;42.7;100.0;2;"task_monitor_heartbeat
2025-12-01 12:01;680fab1b-5333-4caa-970b-091a484dcf7d;false;6.4;72.2;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:01:10;680fab1b-5333-4caa-970b-091a484dcf7d;false;15.1;75.4;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:01:20;680fab1b-5333-4caa-970b-091a484dcf7d;false;15.4;75.3;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:01:30;680fab1b-5333-4caa-970b-091a484dcf7d;false;12.0;77.0;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:01:40;680fab1b-5333-4caa-970b-091a484dcf7d;false;17.4;81.9;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:01:50;680fab1b-5333-4caa-970b-091a484dcf7d;false;5.5;83.5;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02;680fab1b-5333-4caa-970b-091a484dcf7d;false;10.2;79.5;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02:10;680fab1b-5333-4caa-970b-091a484dcf7d;false;6.2;77.9;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02:20;680fab1b-5333-4caa-970b-091a484dcf7d;false;13.8;70.7;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02:30;680fab1b-5333-4caa-970b-091a484dcf7d;false;16.4;82.2;42.7;99.9;2;"task_monitor_heartbeat
2025-12-01 12:02:40;680fab1b-5333-4caa-970b-091a484dcf7d;false;15.7;79.0;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:02:50;680fab1b-5333-4caa-970b-091a484dcf7d;false;11.6;74.1;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03;680fab1b-5333-4caa-970b-091a484dcf7d;false;17.7;79.8;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:10;680fab1b-5333-4caa-970b-091a484dcf7d;false;17.8;70.7;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:20;680fab1b-5333-4caa-970b-091a484dcf7d;false;17.1;72.0;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:30;680fab1b-5333-4caa-970b-091a484dcf7d;false;11.5;71.8;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:40;680fab1b-5333-4caa-970b-091a484dcf7d;false;8.6;76.7;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:03:50;680fab1b-5333-4caa-970b-091a484dcf7d;false;13.5;77.4;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:04;680fab1b-5333-4caa-970b-091a484dcf7d;false;13.1;74.9;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:04:10;680fab1b-5333-4caa-970b-091a484dcf7d;false;11.0;75.6;42.7;99.8;2;"task_monitor_heartbeat
2025-12-01 12:04:20;680fab1b-5333-4caa-970b-091a484dcf7d;false;5.7;75.9;42.7;99.7;2;"task_monitor_heartbeat
2025-12-01 12:04:30;680fab1b-5333-4caa-970b-091a484dcf7d;false;13.9;71.4;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:04:40;680fab1b-5333-4caa-970b-091a484dcf7d;true;13.8;81.2;42.8;99.7;4;"task_monitor_heartbeat
2025-12-01 12:04:50;680fab1b-5333-4caa-970b-091a484dcf7d;false;6.0;81.1;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05;680fab1b-5333-4caa-970b-091a484dcf7d;false;10.9;82.2;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05:10;680fab1b-5333-4caa-970b-091a484dcf7d;false;7.2;72.8;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05:20;680fab1b-5333-4caa-970b-091a484dcf7d;false;7.0;81.2;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05:30;680fab1b-5333-4caa-970b-091a484dcf7d;false;13.5;78.8;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:05:40;680fab1b-5333-4caa-970b-091a484dcf7d;true;14.9;77.5;42.8;99.7;4;"task_monitor_heartbeat
2025-12-01 12:05:50;680fab1b-5333-4caa-970b-091a484dcf7d;false;15.5;74.0;42.8;99.7;2;"task_monitor_heartbeat
2025-12-01 12:06;680fab1b-5333-4caa-970b-091a484dcf7d;false;10.6;81.0;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:06:10;680fab1b-5333-4caa-970b-091a484dcf7d;false;9.5;74.8;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:06:20;680fab1b-5333-4caa-970b-091a484dcf7d;false;9.6;83.5;42.8;99.6;2;"task_monitor_heartbeat
2025-12-01 12:06:30;680fab1b-5333-4caa-970b-091a484dcf7d;false;6.3;77.4;42.8;99.6;2;"task_monitor_heartbeat
